😀;1f600;grinning
🖥;1f5a5;desktop-computer
🖨;1f5a8;printer
⌨;2328;keyboard
🖱;1f5b1;computer-mouse
🖲;1f5b2;trackball
💽;1f4bd;minidisc
💾;1f4be;floppy-disk
💿;1f4bf;optical-disc
📀;1f4c0;dvd
🎥;1f3a5;movie-camera
🎞;1f39e;film-frames
📽;1f4fd;film-projector
🎬;1f3ac;clapper-board
📺;1f4fa;television
📷;1f4f7;camera
📸;1f4f8;camera-with-flash
📹;1f4f9;video-camera
📼;1f4fc;videocassette
🔍;1f50d;left-pointing-magnifying-glass
🔎;1f50e;right-pointing-magnifying-glass
🔬;1f52c;microscope
🔭;1f52d;telescope
📡;1f4e1;satellite-antenna
🕯;1f56f;candle
💡;1f4a1;light-bulb
🔦;1f526;flashlight
🏮;1f3ee;red-paper-lantern
📔;1f4d4;notebook-with-decorative-cover
📕;1f4d5;closed-book
📖;1f4d6;open-book
📗;1f4d7;green-book
📘;1f4d8;blue-book
📙;1f4d9;orange-book
📚;1f4da;books
📓;1f4d3;notebook
📒;1f4d2;ledger
📃;1f4c3;page-with-curl
📜;1f4dc;scroll
📄;1f4c4;page-facing-up
📰;1f4f0;newspaper
🗞;1f5de;rolled-up-newspaper
📑;1f4d1;bookmark-tabs
🔖;1f516;bookmark
🏷;1f3f7;label
💰;1f4b0;money-bag
💴;1f4b4;yen-banknote
💵;1f4b5;dollar-banknote
💶;1f4b6;euro-banknote
💷;1f4b7;pound-banknote
💸;1f4b8;money-with-wings
💳;1f4b3;credit-card
💹;1f4b9;chart-increasing-with-yen
💱;1f4b1;currency-exchange
💲;1f4b2;heavy-dollar-sign
✉;2709;envelope
📧;1f4e7;e-mail
📨;1f4e8;incoming-envelope
📩;1f4e9;envelope-with-arrow
📤;1f4e4;outbox-tray
📥;1f4e5;inbox-tray
📦;1f4e6;package
📫;1f4eb;closed-mailbox-with-raised-flag
📪;1f4ea;closed-mailbox-with-lowered-flag
📬;1f4ec;open-mailbox-with-raised-flag
📭;1f4ed;open-mailbox-with-lowered-flag
📮;1f4ee;postbox
🗳;1f5f3;ballot-box-with-ballot
✏;270f;pencil
✒;2712;black-nib
🖋;1f58b;fountain-pen
🖊;1f58a;pen
🖌;1f58c;paintbrush
🖍;1f58d;crayon
📝;1f4dd;memo
💼;1f4bc;briefcase
📁;1f4c1;file-folder
📂;1f4c2;open-file-folder
🗂;1f5c2;card-index-dividers
📅;1f4c5;calendar
📆;1f4c6;tear-off-calendar
🗒;1f5d2;spiral-notepad
🗓;1f5d3;spiral-calendar
📇;1f4c7;card-index
📈;1f4c8;chart-increasing
📉;1f4c9;chart-decreasing
📊;1f4ca;bar-chart
📋;1f4cb;clipboard
📌;1f4cc;pushpin
📍;1f4cd;round-pushpin
📎;1f4ce;paperclip
🖇;1f587;linked-paperclips
📏;1f4cf;straight-ruler
📐;1f4d0;triangular-ruler
✂;2702;scissors
🗃;1f5c3;card-file-box
🗄;1f5c4;file-cabinet
🗑;1f5d1;wastebasket
🔒;1f512;lock
🔓;1f513;open-lock
🔏;1f50f;lock-with-pen
🔐;1f510;closed-lock-with-key
🔑;1f511;key
🗝;1f5dd;old-key
🔨;1f528;hammer
⛏;26cf;pick
⚒;2692;hammer-and-pick
🛠;1f6e0;hammer-and-wrench
🗡;1f5e1;dagger
⚔;2694;crossed-swords
🔫;1f52b;pistol
🏹;1f3f9;bow-and-arrow
🛡;1f6e1;shield
🔧;1f527;wrench
🔩;1f529;nut-and-bolt
⚙;2699;gear
🗜;1f5dc;compression
⚗;2697;alembic
⚖;2696;scales
🔗;1f517;link
⛓;26d3;chains
💉;1f489;syringe
💊;1f48a;pill
🚬;1f6ac;smoking
⚰;26b0;coffin
⚱;26b1;funeral-urn
🗿;1f5ff;moyai
🛢;1f6e2;oil-drum
🔮;1f52e;crystal-ball
🛒;1f6d2;shopping-trolley
🏧;1f3e7;ATM-sign
🚮;1f6ae;litter-in-bin-sign
🚰;1f6b0;potable-water
♿;267f;wheelchair
🚹;1f6b9;men’s-room
🚺;1f6ba;women’s-room
🚻;1f6bb;restroom
🚼;1f6bc;baby-symbol
🚾;1f6be;water-closet
🛂;1f6c2;passport-control
🛃;1f6c3;customs
🛄;1f6c4;baggage-claim
🛅;1f6c5;left-luggage
⚠;26a0;warning
